"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"0610005C13Rik",0.000976276481499561,0,0.00273972602739726,0.00884955752212389,0,0,0.00498575498575499,0,0,0,0
"0610007P14Rik",0.0850336815386117,2.06741573033708,0.0821917808219178,0.274336283185841,0,0.479289940828402,0.136039886039886,0.168918918918919,0.12,0.0895522388059701,0.0598290598290598
"0610009B22Rik",0.0478375475934785,0.303370786516854,0.115068493150685,0.371681415929204,0.046875,0.195266272189349,0.235754985754986,0.101351351351351,0.22,0.0746268656716418,0.128205128205128
"0610009E02Rik",0.00165967001854925,0.00561797752808989,0.00684931506849315,0,0,0.00591715976331361,0.0548433048433048,0.0405405405405405,0.08,0.0597014925373134,0.0256410256410256
"0610009L18Rik",0.00732207361124671,0.0561797752808989,0.010958904109589,0.0265486725663717,0,0.029585798816568,0.0698005698005698,0.0540540540540541,0.2,0.0149253731343284,0.0427350427350427
"0610009O20Rik",0.0300693156301865,0.0112359550561798,0.0315068493150685,0.0442477876106195,0.015625,0.0591715976331361,0.0968660968660969,0.0472972972972973,0.04,0.0497512437810945,0.0854700854700855
"0610010F05Rik",0.0545738553158254,0.275280898876405,0.0986301369863014,0.230088495575221,0.0625,0.100591715976331,0.0156695156695157,0,0.14,0.054726368159204,0.0512820512820513
"0610010K14Rik",0.0015620423703993,0,0.00273972602739726,0,0,0,0.00142450142450142,0,0,0.00497512437810945,0.00854700854700855
"0610011F06Rik",0.0925510104461583,0.331460674157303,0.105479452054795,0.309734513274336,0.046875,0.0710059171597633,0.189458689458689,0.128378378378378,0.54,0.0895522388059701,0.239316239316239
"0610030E20Rik",0.0312408474079859,0.0168539325842697,0.0493150684931507,0.0265486725663717,0.0625,0.0355029585798817,0.0462962962962963,0.0135135135135135,0,0.0646766169154229,0.0427350427350427
"0610037L13Rik",0.064434247778971,0.219101123595506,0.0520547945205479,0.115044247787611,0.03125,0.14792899408284,0.141737891737892,0.0675675675675676,0.2,0.149253731343284,0.111111111111111
"0610038B21Rik",0.000878648833349605,0,0.00273972602739726,0,0,0,0.000712250712250712,0,0,0,0.00854700854700855
"0610039K10Rik",0.000878648833349605,0,0,0,0,0,0.000712250712250712,0,0,0.00497512437810945,0
