"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"0610005C13Rik",0.00117069295403095,0,0.00273596782982881,0.00884955752212389,0,0,0.00638994990384869,0,0,0,0
"0610007P14Rik",0.105930058912309,23.4869548657399,0.105718097600391,0.343710493046776,0,0.786770921386306,0.166084377595425,0.222972972972973,0.189387755102041,0.131940298507463,0.0567344532861774
"0610009B22Rik",0.0596133178753364,0.87919761315305,0.13488922712667,0.449905183312263,0.0771329365079365,0.277120315581854,0.322854668364291,0.105304283875712,0.338367346938775,0.109402985074627,0.285145888594165
"0610009E02Rik",0.00165707729053746,0.00561797752808989,0.0150421857677058,0,0,0.00591715976331361,0.0675531472038956,0.0527670527670528,0.115918367346939,0.0564179104477612,0.0424403183023873
"0610009L18Rik",0.0103935602889237,0.0985209166507967,0.0135971588026383,0.0796460176991151,0,0.0288813750352212,0.0934850635492118,0.0514800514800515,0.244897959183674,0.0147761194029851,0.0412614205717654
"0610009O20Rik",0.0344404072237749,0.011172475084111,0.036042993780183,0.0426675094816688,0.015625,0.0679064525218371,0.117481262171212,0.0453667953667954,0.0391836734693878,0.0475124378109453,0.0960801650456823
"0610010F05Rik",0.0756193336143774,0.652605852853425,0.121945994700941,0.446586599241467,0.0912698412698413,0.1267258382643,0.0211370425197938,0,0.367755102040816,0.0719900497512438,0.0663129973474801
"0610010K14Rik",0.00155975466921242,0,0.00273596782982881,0,0,0,0.00142348609918104,0,0,0.00497512437810945,0.00854700854700855
"0610011F06Rik",0.120900375131521,1.01380689392497,0.130148260894075,0.34070796460177,0.0453869047619048,0.066356720202874,0.256310754528859,0.139869461298033,1.11061224489796,0.121940298507463,0.373268493958149
"0610030E20Rik",0.0410079016627069,0.0166634926680632,0.0634083093748238,0.0260745891276865,0.154761904761905,0.0463510848126233,0.0669926876270426,0.0134215848501563,0,0.0707960199004975,0.0929855585027999
"0610037L13Rik",0.0809874435135598,0.477147210055228,0.0631302027547588,0.120575221238938,0.0307539682539683,0.198224852071006,0.180181154343663,0.0770362198933627,0.244897959183674,0.177611940298507,0.0996168582375479
"0610038B21Rik",0.000877962522993542,0,0.00273596782982881,0,0,0,0.000712250712250712,0,0,0,0.00854700854700855
"0610039K10Rik",0.000877962522993542,0,0,0,0,0,0.000712250712250712,0,0,0.00497512437810945,0
"0610040B10Rik",0.0101101903685759,0.0327556655875071,0.0202585639927091,0.0175410872313527,0,0.0745280360664976,0.0498382586764625,0.00675675675675676,0.189387755102041,0.00497512437810945,0
"0610040F04Rik",0.00204617713407204,0.00561797752808989,0.00273596782982881,0,0,0,0.00213370616079098,0.00675675675675676,0,0,0
"0610040J01Rik",0.000195236232123355,0.00561797752808989,0,0.00884955752212389,0.0453869047619048,0.0117638771484925,0.326936276152242,0.00675675675675676,0,0,0
"0610043K17Rik",0.0101953881736105,0.00561797752808989,0.00273596782982881,0.00884955752212389,0,0,0,0.0799779371207943,0.08,0,0
"1110001J03Rik",0.247600644697071,0.779407097060877,0.65013811376064,1.33754740834387,0.0453869047619048,0.409481544096929,0.854170347220953,1.06025923883067,0.520816326530612,0.24407960199005,0.531535514294135
"1110002L01Rik",0.0217072530593857,0.108423792293531,0.0321701711858992,0.088653603034134,0.015625,0.0518455903071288,0.0270254217153718,0.0199944842801986,0.02,0.00990049751243781,0.0505452402004126
"1110002O04Rik",0.000975761748732513,0,0,0,0,0,0,0,0,0,0
"1110004E09Rik",0.150206017977175,1.10610677331302,0.228829133547551,0.504740834386852,0.213293650793651,0.182093547478163,0.342832209368204,0.216400073542931,4.28571428571428,0.217611940298507,0.140730916592986
"1110004F10Rik",0.301475874198778,2.53923062273853,0.273190897645489,1.19437420986094,0.208085317460317,0.641448295294449,0.517771239082714,0.16822945394374,0.826122448979592,0.280298507462687,0.717506631299735
"1110007C09Rik",0.0163057617870515,0.0220910302799467,0.0307213860232632,0.0586283185840708,0.104910714285714,0.686460974922513,0.0721388640134185,0.0906416620702335,0.204081632653061,0.254626865671642,0.194223401119953
"1110008F13Rik",0.254260486007247,0.821716498444741,0.108461581825357,0.411030341340076,0.165674603174603,0.433291067906453,0.311211425252765,0.273395844824416,0.177959183673469,0.267164179104478,0.211022693781314
"1110008L16Rik",0.00389904351785302,0.0274550879197613,0.00681173309280869,0.0175410872313527,0,0.0294449140602987,0.00777891494213661,0,0.02,0.1518407960199,0.00854700854700855
"1110008P14Rik",0.119736183061696,4.76341014409954,0.15897927354041,0.388748419721871,0.0912698412698413,0.136094674556213,0.0700833379022973,0.0453667953667954,0.400408163265306,0.106019900497512,0.0788387857353375
"1110012L19Rik",0.0293547902928187,0.103504094458198,0.0175150797677434,0.274336283185841,0.0307539682539683,0.0952380952380952,0.116349682101642,0.0736808236808237,0.0575510204081633,0.0291044776119403,0.0412614205717654
"1110017D15Rik",0.00039039620754048,0,0.00273596782982881,0.00884955752212389,0,0,0.00638994990384869,0.0134215848501563,2.72816326530612,0,0
"1110018N20Rik",9.76276481499561e-05,0.00561797752808989,0,0,0,0,0.00777891494213661,0,0.02,0,0.0424403183023873
"1110019D14Rik",0.631451338794191,0.0666539706722529,0.00820038709434955,0.00884955752212389,0,0.0117638771484925,0.0259451155744812,0.0199944842801986,0.02,0.00990049751243781,0.0169466548776894
"1110020A21Rik",0.00670813086939527,0.011172475084111,0.024503448146269,0.00884955752212389,0,0.0236686390532544,0.0378812800409379,0.0134215848501563,0,0,0.0169466548776894
"1110025M09Rik",0.00263024631125818,0,0.00409831444839055,0.0175410872313527,0,0.00591715976331361,0.00142348609918104,0,0,0.0247761194029851,0
"1110032A03Rik",0.0492614128121904,0.287596013457754,0.0722870511302779,0.176201011378003,0.015625,0.234854888701043,0.118335658428317,0.0589722375436661,2.10775510204082,0.0919900497512438,0.0567344532861774
"1110034G24Rik",0.0325628908597053,0.0387545229480099,0.0161903151248661,0.0260745891276865,0.0453869047619048,0.0117638771484925,0.0503819653855292,0.0199944842801986,0.02,0.107810945273632,0.0169466548776894
"1110035H17Rik",0.00447605894971295,0,0.00684179867335626,0.00884955752212389,0,0,0.00213370616079098,0,0,0,0
"1110037F02Rik",0.0540959354737104,0.170634164920967,0.0654471315557059,0.0992414664981037,0,0.0453648915187377,0.0697096981843953,0.039161610590182,0.191428571428571,0.22318407960199,0.0739758325965223
"1110038B12Rik",0.0227625314885387,0.103504094458198,0.0228968186857583,0.0175410872313527,0.0731646825396825,0.0399408284023669,0.0286012066126107,0.0199944842801986,0.08,0.0296019900497512,0
"1110038F14Rik",0.0460770852734708,0.181806640005078,0.0692278783095627,0.198798988621997,0.0595238095238095,0.116863905325444,0.183055032663016,0.0906416620702335,0.215918367346939,0.201094527363184,0.153551429413498
"1110046J04Rik",0.0119498834063558,0.011172475084111,0.00409831444839055,0.137800252844501,0,0.0875598760214145,0.0300267233624326,0.0199944842801986,0,0.00990049751243781,0.0169466548776894
"1110051M20Rik",0.0550523089548841,1.43671046784739,0.164024653776049,0.529235145385588,0.0307539682539683,0.18265708650324,0.112433064678254,0.0328644971502114,0.204081632653061,0.0619900497512438,0.0251989389920424
"1110059E24Rik",0.0508721450895171,0.355392623627246,0.0496908882499953,0.182522123893805,0.0453869047619048,0.110030994646379,0.065175762966212,0.0527670527670528,0.0391836734693878,0.0694029850746269,0.116858237547893
"1110059G10Rik",0.0752181089545524,0.280200596711737,0.126066858334743,0.227402022756005,0.0595238095238095,0.168991265145111,0.17383181745263,0.0692682478396764,0.204489795918367,0.139452736318408,0.168582375478927
"1110065P20Rik",0.0763898123099409,0.514822573478068,0.0904015634101885,0.632901390644753,0.0307539682539683,0.287686672302057,0.164200441463449,0.118909726052583,0.277959183673469,0.048407960199005,0.262746831712349
"1190002F15Rik",0.00165867868136827,0.00561797752808989,0,0,0,0,0,0,0,0,0.0169466548776894
"1190002N15Rik",0.0970254680050405,14.6377197994033,0.233466749347013,0.117098609355247,0,0.103620738236123,0.0550280940516151,0.129573451002022,0.02,0.0147761194029851,0.0251989389920424
"1190003K10Rik",0.000195236232123355,0.0224719101123595,0.00136986301369863,0,0,0,0.000712250712250712,0,0,0,0
"1190005I06Rik",0.000975761748732513,0.0166634926680632,0.00136986301369863,0.0439317319848293,0,0.348478444632291,0.071874371767458,0.107878286449715,0.204489795918367,0,0.00854700854700855
"1190007I07Rik",0.0380179524681655,0.0544658160350409,0.0307213860232632,0.142225031605563,0,0.0344463229078614,0.0976946023275318,0.0575013789299504,0.0751020408163265,0.0719900497512438,0.0788387857353375
"1200014J11Rik",0.0578359837590755,0.154668951945661,0.0474585188943383,0.230404551201011,0.0771329365079365,0.11214426599042,0.0542929985196557,0.0134215848501563,0.367755102040816,0.18407960199005,0.0739758325965223
"1300002E11Rik",0.0277682885838964,0.0224719101123595,0.0271642520247289,0.0344500632111252,0.015625,0.190476190476191,0.0524618593043397,0.0464699393270822,0.115918367346939,0.25318407960199,0.108458591217212
"1500002C15Rik",0.00495843980914243,0.00561797752808989,0.00951011894695304,0.0175410872313527,0,0,0.0740273691093363,0.0134215848501563,0,0,0.00854700854700855
"1500002F19Rik",0.00117027354214669,0.00561797752808989,0,0,0,0,0.00213370616079098,0,0,0,0
"1500004A13Rik",0.066463762822732,0.22713134006221,0.0472104778548208,0.415139064475348,0,0.216258100873485,0.0381736937332091,0.00675675675675676,0,0.00497512437810945,0
"1500009C09Rik",0.0072825154448903,24.7470323113058,0.48256196328241,0.735619469026549,0,0.0864327979712595,0.11218735595072,0.281853281853282,0.177959183673469,0.0199004975124378,0.00854700854700855
"1500009L16Rik",0.0337345370225641,0,0.00409831444839055,0.163084702907712,0,0.00591715976331361,0.0455617084269971,0.00675675675675676,0,0,0.44930739758326
"1500011B03Rik",0.115291694388362,0.894813686281978,0.194202980250672,0.847029077117573,0.015625,0.0862214708368555,0.0634309264031288,0.0134215848501563,0.359591836734694,0.0243781094527363,0.075744179192455
"1500011K16Rik",0.30875228910717,3.42706151209293,0.178531296390251,0.396333754740834,0.149801587301587,0.435122569737954,0.416890545899812,0.156784335355764,1.31469387755102,0.555074626865672,0.406867079280872
"1500012F01Rik",0.057840826059921,0.163683107979432,0.0424225341526204,0.313053097345133,0.0595238095238095,0.206466610312764,0.101508164230901,0.0575013789299504,0.308571428571429,0.0936318407960199,0.0169466548776894
"1500012K07Rik",0.000780487388256044,0,0,0,0,0,0,0,0,0,0
"1500015A07Rik",0.0233124567255107,0.011172475084111,0.0257455324426405,0.112199747155499,0,0.00591715976331361,0.00142348609918104,0.00675675675675676,0,0.00990049751243781,0.0341880341880342
"1500015O10Rik",0.000877962522993541,0,0.00409831444839055,0.00884955752212389,0,0.0117638771484925,0.19843111931494,0.808006986578415,703.92693877551,0,0.0169466548776894
"1500017E21Rik",0.00117027354214669,0,0.00545690286938384,0,0,0,0.00566957658903489,0.00675675675675676,0.197551020408163,0,0
"1500026H17Rik",0.01402240723243,0.00561797752808989,0.0150421857677058,0.052307206068268,0,0.0117638771484925,0.0375061173350553,0,0,0,0.0341880341880342
"1500035N22Rik",0.00195030339016536,0,0,0.0175410872313527,0,0,0,0,0,0,0
"1600002H07Rik",0.015139529850335,0.0379927632831842,0.0203487607343518,0.0344500632111252,0,0.0117638771484925,0.012002668274942,0.00675675675675676,0.02,0.0196019900497512,0.0585027998821102
"1600002K03Rik",0.00389446811547927,0.0166634926680632,0.0135971588026383,0,0.015625,0.0175401521555368,0.0113046321171767,0,0.0575510204081633,0.0343781094527363,0
"1600012H06Rik",0.0193463454345291,0.0327556655875071,0.0387864780051487,0.112199747155499,0.0595238095238095,0.10207100591716,0.0753432307245565,0.0264754550468836,0.0391836734693878,0.101940298507463,0.0251989389920424
"1600014C10Rik",0.0240497637538645,0.129372183076239,0.0472104778548208,0.0813843236409608,0.015625,0.0117638771484925,0.0161695633898057,0.0134215848501563,0.115918367346939,0.0629850746268657,0.0424403183023873
